content,score,at,case_folding,cleaning,tokenization,stopword_removal,stemming,clean_review,sentiment
ini Netflix kenapa sebagian filmnya gak bisa(History tontonan yang saya mau lanjutkan tiba2 Hilang dan sebelum menghilang ada notip suruh matikan VPN),1,2026-06-20 09:53:46,ini netflix kenapa sebagian filmnya gak bisa(history tontonan yang saya mau lanjutkan tiba2 hilang dan sebelum menghilang ada notip suruh matikan vpn),ini netflix kenapa sebagian filmnya gak bisahistory tontonan yang saya mau lanjutkan tiba hilang dan sebelum menghilang ada notip suruh matikan vpn,"['ini', 'netflix', 'kenapa', 'sebagian', 'filmnya', 'gak', 'bisahistory', 'tontonan', 'yang', 'saya', 'mau', 'lanjutkan', 'tiba', 'hilang', 'dan', 'sebelum', 'menghilang', 'ada', 'notip', 'suruh', 'matikan', 'vpn']","['netflix', 'filmnya', 'gak', 'bisahistory', 'tontonan', 'lanjutkan', 'hilang', 'menghilang', 'notip', 'suruh', 'matikan', 'vpn']","['netflix', 'film', 'gak', 'bisahistory', 'tonton', 'lanjut', 'hilang', 'hilang', 'notip', 'suruh', 'mati', 'vpn']",netflix film gak bisahistory tonton lanjut hilang hilang notip suruh mati vpn,Netral
"Netflix offers a wide variety of movies, TV shows, and original content for all types of viewers. The streaming quality is reliable, and the recommendation system helps users find content that matches their interests. It's a great platform for entertainment.",5,2026-06-20 09:22:55,"netflix offers a wide variety of movies, tv shows, and original content for all types of viewers. the streaming quality is reliable, and the recommendation system helps users find content that matches their interests. it's a great platform for entertainment.",netflix offers a wide variety of movies tv shows and original content for all types of viewers the streaming quality is reliable and the recommendation system helps users find content that matches their interests its a great platform for entertainment,"['netflix', 'offers', 'a', 'wide', 'variety', 'of', 'movies', 'tv', 'shows', 'and', 'original', 'content', 'for', 'all', 'types', 'of', 'viewers', 'the', 'streaming', 'quality', 'is', 'reliable', 'and', 'the', 'recommendation', 'system', 'helps', 'users', 'find', 'content', 'that', 'matches', 'their', 'interests', 'its', 'a', 'great', 'platform', 'for', 'entertainment']","['netflix', 'offers', 'a', 'wide', 'variety', 'of', 'movies', 'tv', 'shows', 'and', 'original', 'content', 'for', 'all', 'types', 'of', 'viewers', 'the', 'streaming', 'quality', 'is', 'reliable', 'and', 'the', 'recommendation', 'system', 'helps', 'users', 'find', 'content', 'that', 'matches', 'their', 'interests', 'its', 'a', 'great', 'platform', 'for', 'entertainment']","['netflix', 'offers', 'a', 'wide', 'variety', 'of', 'movies', 'tv', 'shows', 'and', 'original', 'content', 'for', 'all', 'types', 'of', 'viewers', 'the', 'streaming', 'quality', 'is', 'reliable', 'and', 'the', 'recommendation', 'system', 'helps', 'users', 'find', 'content', 'that', 'matches', 'their', 'interests', 'its', 'a', 'great', 'platform', 'for', 'entertainment']",netflix offers a wide variety of movies tv shows and original content for all types of viewers the streaming quality is reliable and the recommendation system helps users find content that matches their interests its a great platform for entertainment,Positif
"udah bayar, mau masuk nya malah susah banget, ribeeeeet, aplikasi sampaaaaah",1,2026-06-20 07:35:47,"udah bayar, mau masuk nya malah susah banget, ribeeeeet, aplikasi sampaaaaah",udah bayar mau masuk nya malah susah banget ribeeeeet aplikasi sampaaaaah,"['udah', 'bayar', 'mau', 'masuk', 'nya', 'malah', 'susah', 'banget', 'ribeeeeet', 'aplikasi', 'sampaaaaah']","['udah', 'bayar', 'masuk', 'nya', 'susah', 'banget', 'ribeeeeet', 'aplikasi', 'sampaaaaah']","['udah', 'bayar', 'masuk', 'nya', 'susah', 'banget', 'ribeeeeet', 'aplikasi', 'sampaaaaah']",udah bayar masuk nya susah banget ribeeeeet aplikasi sampaaaaah,Netral
ok,5,2026-06-20 01:48:30,ok,ok,['ok'],['ok'],['ok'],ok,Positif
"film netfilk rata2 yg kurang laku dibioskop,yg bagus2 action kurang update",4,2026-06-20 00:08:37,"film netfilk rata2 yg kurang laku dibioskop,yg bagus2 action kurang update",film netfilk rata yg kurang laku dibioskopyg bagus action kurang update,"['film', 'netfilk', 'rata', 'yg', 'kurang', 'laku', 'dibioskopyg', 'bagus', 'action', 'kurang', 'update']","['film', 'netfilk', 'yg', 'laku', 'dibioskopyg', 'bagus', 'action', 'update']","['film', 'netfilk', 'yg', 'laku', 'dibioskopyg', 'bagus', 'action', 'update']",film netfilk yg laku dibioskopyg bagus action update,Positif
"Saran dari saya, akan lebih baik kalau tiap film ada rating nilai film tersebut",4,2026-06-19 22:30:08,"saran dari saya, akan lebih baik kalau tiap film ada rating nilai film tersebut",saran dari saya akan lebih baik kalau tiap film ada rating nilai film tersebut,"['saran', 'dari', 'saya', 'akan', 'lebih', 'baik', 'kalau', 'tiap', 'film', 'ada', 'rating', 'nilai', 'film', 'tersebut']","['saran', 'film', 'rating', 'nilai', 'film']","['saran', 'film', 'rating', 'nilai', 'film']",saran film rating nilai film,Netral
"Bagus. saran saya agar Category atau Filter nya ditambah, misalnya Negara atau Nama Pemain Filmnya dan untuk Resolusi Video bisa di setting Manual. agar mempermudah User",4,2026-06-19 22:12:33,"bagus. saran saya agar category atau filter nya ditambah, misalnya negara atau nama pemain filmnya dan untuk resolusi video bisa di setting manual. agar mempermudah user",bagus saran saya agar category atau filter nya ditambah misalnya negara atau nama pemain filmnya dan untuk resolusi video bisa di setting manual agar mempermudah user,"['bagus', 'saran', 'saya', 'agar', 'category', 'atau', 'filter', 'nya', 'ditambah', 'misalnya', 'negara', 'atau', 'nama', 'pemain', 'filmnya', 'dan', 'untuk', 'resolusi', 'video', 'bisa', 'di', 'setting', 'manual', 'agar', 'mempermudah', 'user']","['bagus', 'saran', 'category', 'filter', 'nya', 'ditambah', 'negara', 'nama', 'pemain', 'filmnya', 'resolusi', 'video', 'setting', 'manual', 'mempermudah', 'user']","['bagus', 'saran', 'category', 'filter', 'nya', 'tambah', 'negara', 'nama', 'main', 'film', 'resolusi', 'video', 'setting', 'manual', 'mudah', 'user']",bagus saran category filter nya tambah negara nama main film resolusi video setting manual mudah user,Positif
Lumayan,2,2026-06-19 21:52:14,lumayan,lumayan,['lumayan'],['lumayan'],['lumayan'],lumayan,Netral
luar biasa,5,2026-06-19 21:20:09,luar biasa,luar biasa,"['luar', 'biasa']",[],[],,Netral
sangat bagus,5,2026-06-19 20:04:52,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],['bagus'],bagus,Netral
Mantapz sesuai kebutuhan Mantap sesuai kebutuhan,5,2026-06-19 18:57:51,mantapz sesuai kebutuhan mantap sesuai kebutuhan,mantapz sesuai kebutuhan mantap sesuai kebutuhan,"['mantapz', 'sesuai', 'kebutuhan', 'mantap', 'sesuai', 'kebutuhan']","['mantapz', 'sesuai', 'kebutuhan', 'mantap', 'sesuai', 'kebutuhan']","['mantapz', 'sesuai', 'butuh', 'mantap', 'sesuai', 'butuh']",mantapz sesuai butuh mantap sesuai butuh,Netral
setiap login ada kesalahan terus aneh,1,2026-06-19 18:04:40,setiap login ada kesalahan terus aneh,setiap login ada kesalahan terus aneh,"['setiap', 'login', 'ada', 'kesalahan', 'terus', 'aneh']","['login', 'kesalahan', 'aneh']","['login', 'salah', 'aneh']",login salah aneh,Netral
"ribet,, susah nak masuk",1,2026-06-19 16:26:11,"ribet,, susah nak masuk",ribet susah nak masuk,"['ribet', 'susah', 'nak', 'masuk']","['ribet', 'susah', 'nak', 'masuk']","['ribet', 'susah', 'nak', 'masuk']",ribet susah nak masuk,Netral
aplikasi nonton film tercacat,1,2026-06-19 16:25:58,aplikasi nonton film tercacat,aplikasi nonton film tercacat,"['aplikasi', 'nonton', 'film', 'tercacat']","['aplikasi', 'nonton', 'film', 'tercacat']","['aplikasi', 'nonton', 'film', 'cacat']",aplikasi nonton film cacat,Netral
bs ga sih pembayaran berlangganan nya tuh gosah otomatis??,1,2026-06-19 16:17:13,bs ga sih pembayaran berlangganan nya tuh gosah otomatis??,bs ga sih pembayaran berlangganan nya tuh gosah otomatis,"['bs', 'ga', 'sih', 'pembayaran', 'berlangganan', 'nya', 'tuh', 'gosah', 'otomatis']","['bs', 'ga', 'sih', 'pembayaran', 'berlangganan', 'nya', 'tuh', 'gosah', 'otomatis']","['bs', 'ga', 'sih', 'bayar', 'langgan', 'nya', 'tuh', 'gosah', 'otomatis']",bs ga sih bayar langgan nya tuh gosah otomatis,Netral
apa bgt si mau daftar aja sulit bgt,1,2026-06-19 15:20:43,apa bgt si mau daftar aja sulit bgt,apa bgt si mau daftar aja sulit bgt,"['apa', 'bgt', 'si', 'mau', 'daftar', 'aja', 'sulit', 'bgt']","['bgt', 'si', 'daftar', 'aja', 'sulit', 'bgt']","['bgt', 'si', 'daftar', 'aja', 'sulit', 'bgt']",bgt si daftar aja sulit bgt,Netral
